
"C-P Desjardins","123456","EOP","2025/01/01",00001,"Virement à toi","",100.00,"","","","","",0
"C-P Desjardins","123456","EOP","2025/01/02",00002,"Paiement à toi","",200.00,"","","","","",0
"C-P Desjardins","123456","EOP","2025/01/03",00003,"Carte Credit à lui","",300.00,"","","","","",0
"C-P Desjardins","123456","EOP","2025/01/04",00004,"Assurance à elle","",400.00,"","","","","",0
"C-P Desjardins","123456","EOP","2025/01/05",00005,"Paie à moi","","",1000.00,"","","","",0
"C-P Desjardins","654321","EOP","2025/01/01",00001,"Virement à toi","",100.00,"","","","","",0
"C-P Desjardins","654321","EOP","2025/01/02",00002,"Paiement à toi","",200.00,"","","","","",0
"C-P Desjardins","654321","EOP","2025/01/03",00003,"Carte Credit à lui","",300.00,"","","","","",0
"C-P Desjardins","654321","EOP","2025/01/04",00004,"Assurance à elle","",400.00,"","","","","",0
"C-P Desjardins","654321","EOP","2025/01/05",00005,"Paie à moi","","",1000.00,"","","","",0
